STATION,NAME,DATE,TMAX,TMIN
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/22/14,70,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/23/14,73,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/24/14,77,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/25/14,62,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/26/14,61,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/27/14,59,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/28/14,62,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/29/14,57,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/30/14,61,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",3/31/14,52,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/1/14,54,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/2/14,62,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/3/14,62,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/4/14,58,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/5/14,70,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/6/14,80,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/7/14,84,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/8/14,81,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/9/14,71,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/10/14,78,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/11/14,67,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/12/14,64,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/13/14,73,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/14/14,74,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/15/14,73,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/16/14,79,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/17/14,78,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/18/14,72,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/19/14,72,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/20/14,81,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/21/14,70,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/22/14,66,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/23/14,70,41
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/24/14,70,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/25/14,58,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/26/14,65,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/27/14,66,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/28/14,74,40
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/29/14,92,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",4/30/14,91,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/1/14,90,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/2/14,80,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/3/14,73,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/4/14,70,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/5/14,68,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/6/14,76,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/7/14,73,42
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/8/14,64,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/9/14,74,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/10/14,71,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/11/14,81,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/12/14,87,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/13/14,94,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/14/14,94,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/15/14,91,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/16/14,85,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/17/14,82,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/18/14,79,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/19/14,71,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/20/14,75,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/21/14,78,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/22/14,77,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/23/14,80,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/24/14,84,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/25/14,96,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/26/14,93,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/27/14,89,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/28/14,84,53
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/29/14,83,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/30/14,71,43
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",5/31/14,78,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/1/14,79,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/2/14,72,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/3/14,74,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/4/14,82,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/5/14,75,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/6/14,73,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/7/14,82,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/8/14,100,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/9/14,95,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/10/14,72,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/11/14,68,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/12/14,84,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/13/14,86,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/14/14,83,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/15/14,81,44
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/16/14,79,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/17/14,82,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/18/14,89,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/19/14,85,46
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/20/14,95,48
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/21/14,81,49
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/22/14,82,45
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/23/14,90,47
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/24/14,92,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/25/14,82,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/26/14,75,56
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/27/14,81,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/28/14,89,52
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/29/14,94,51
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",6/30/14,94,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",7/1/14,77,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",7/2/14,80,54
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",7/3/14,86,50
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",7/4/14,82,49
