STATION,NAME,DATE,TMAX,TMIN
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/19/10,86,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/20/10,91,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/21/10,88,72
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/22/10,86,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/23/10,91,73
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/24/10,82,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/25/10,86,60
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/26/10,91,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/27/10,90,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/28/10,85,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/29/10,81,61
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",6/30/10,78,55
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/1/10,79,52
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/2/10,81,51
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/3/10,87,53
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/4/10,90,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/5/10,89,67
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/6/10,90,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/7/10,93,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/8/10,90,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/9/10,85,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/10/10,85,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/11/10,86,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/12/10,84,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/13/10,82,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/14/10,89,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/15/10,91,69
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/16/10,90,69
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/17/10,87,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/18/10,84,66
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/19/10,87,69
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/20/10,83,67
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/21/10,86,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/22/10,89,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/23/10,90,77
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/24/10,91,75
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/25/10,86,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/26/10,87,68
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/27/10,88,67
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/28/10,87,72
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/29/10,87,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/30/10,83,59
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",7/31/10,84,67
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/1/10,85,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/2/10,88,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/3/10,93,65
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/4/10,97,74
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/5/10,87,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/6/10,84,60
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/7/10,84,57
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/8/10,87,58
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/9/10,93,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/10/10,96,70
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/11/10,93,72
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/12/10,97,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/13/10,94,69
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/14/10,89,71
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",8/15/10,92,73
